date,priceUsd,circulatingSupply
2024-06-04 14:00:00,69667.0001363043887863,19707593.0000000000000000
2024-06-04 15:00:00,69656.3210401110523268,19707631.0000000000000000
2024-06-04 16:00:00,70363.0196285465277906,19707631.0000000000000000
2024-06-04 17:00:00,70760.4723482916297368,19707631.0000000000000000
2024-06-04 18:00:00,70574.1543776923031537,19707631.0000000000000000
2024-06-04 19:00:00,70738.1894095031119131,19707684.0000000000000000
2024-06-04 20:00:00,70387.1593146192026477,19707684.0000000000000000
2024-06-04 21:00:00,70437.7893728509418122,19707721.0000000000000000
2024-06-04 22:00:00,70577.6692055077848980,19707721.0000000000000000
2024-06-04 23:00:00,70573.4480098212530640,19707721.0000000000000000
2024-06-05 00:00:00,70566.0793342114816788,19707721.0000000000000000
2024-06-05 01:00:00,70755.9698684682502234,19707753.0000000000000000
2024-06-05 02:00:00,70979.1619542768848014,19707753.0000000000000000
2024-06-05 03:00:00,70825.2956074938710143,19707825.0000000000000000
2024-06-05 04:00:00,70919.1188632467670975,19707825.0000000000000000
2024-06-05 05:00:00,71157.5150935843918836,19707825.0000000000000000
2024-06-05 06:00:00,70994.2099666667815711,19707825.0000000000000000
2024-06-05 07:00:00,71102.7875935841270306,19707856.0000000000000000
2024-06-05 08:00:00,71221.3229947088149819,19707856.0000000000000000
2024-06-05 09:00:00,70894.2126872075498381,19707881.0000000000000000
2024-06-05 10:00:00,70863.4038885186259641,19707881.0000000000000000
2024-06-05 11:00:00,70810.9307808877271859,19707931.0000000000000000
2024-06-05 12:00:00,70962.8683455931833989,19707931.0000000000000000
2024-06-05 13:00:00,70960.9105999739616705,19707931.0000000000000000
2024-06-05 14:00:00,70761.4282930975174107,19707931.0000000000000000
2024-06-05 15:00:00,70948.3885504195392354,19707950.0000000000000000
2024-06-05 16:00:00,71534.3967791288220439,19707950.0000000000000000
2024-06-05 17:00:00,71351.1976643034028899,19707968.0000000000000000
2024-06-05 18:00:00,71632.9180738679984364,19707968.0000000000000000
2024-06-05 19:00:00,71045.5170329966952491,19707968.0000000000000000
2024-06-05 20:00:00,71331.9952912256626705,19707968.0000000000000000
2024-06-05 21:00:00,71208.0040462027711704,19707984.0000000000000000
2024-06-05 22:00:00,71109.9235051925570709,19707984.0000000000000000
2024-06-05 23:00:00,71167.4910101633965938,19708003.0000000000000000
2024-06-06 00:00:00,71106.0405802901710346,19708003.0000000000000000
2024-06-06 01:00:00,70985.3811888108774376,19708003.0000000000000000
2024-06-06 02:00:00,71139.2353844704974721,19708003.0000000000000000
2024-06-06 03:00:00,71176.8504503306580978,19708053.0000000000000000
2024-06-06 04:00:00,71051.6864140667940947,19708053.0000000000000000
2024-06-06 05:00:00,71095.9478906377969762,19708078.0000000000000000
2024-06-06 06:00:00,70890.5491708652245584,19708078.0000000000000000
2024-06-06 07:00:00,70896.3008328701822942,19708078.0000000000000000
2024-06-06 08:00:00,71032.0880045883614958,19708078.0000000000000000
2024-06-06 09:00:00,70938.2438656948591399,19708078.0000000000000000
2024-06-06 10:00:00,70982.1507810062258519,19708078.0000000000000000
2024-06-06 11:00:00,71000.5743181130379065,19708090.0000000000000000
2024-06-06 12:00:00,71154.3771719921123235,19708090.0000000000000000
2024-06-06 13:00:00,71116.1134606036693116,19708090.0000000000000000
2024-06-06 14:00:00,71260.4498467184973322,19708090.0000000000000000
2024-06-06 15:00:00,71469.6950081431682931,19708096.0000000000000000
2024-06-06 16:00:00,71310.0396403207860628,19708096.0000000000000000
